"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5,C8,C10,C13,C14,C15,C16,C18,C21,C22,C23","13","0.1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C4,C7,C12","4","10u","","","","Footprints:T491A",""
"C6,C11","2","1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C9","1","4.7u","","","","Footprints:T491A",""
"C17,C24,C25","3","10n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C19","1","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C20","1","100pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"F1,F2","2","0ZCH0110AF2E","","","","Footprints:FUSC3226X100N","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zch-series.pdf"
"J1","1","SS-52400-002","","","","Footprints:BELFUSE_SS-52400-002",""
"J2","1","B2B-PH-SM4-TB","","","","Footprints:JST_B2B-PH-SM4-TB",""
"J3","1","GSD090012SEU","","","","Footprints:AMPHENOL_GSD090012SEU",""
"J4","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J5","1","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"LED1,LED4,LED5","3","LTST-C170KRKT","","","","Footprints:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170KRKT.pdf"
"LED2,LED6","2","LTST-C170GKT","","","","Footprints:LEDC2012X120N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/895/LTST-C170GKT.pdf"
"LED3","1","LTST-C170TBKT","","","","Footprints:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170TBKT.pdf"
"MK1","1","CMC-5042PF-AC","","","","Footprints:CUI_CMC-5042PF-AC",""
"Q1","1","TEMT6000X01","","","","Footprints:TRANS_TEMT6000X01",""
"Q2,Q3","2","BC817","","","","PCM_Package_TO_SOT_SMD_AKL:SOT-23","https://www.tme.eu/Document/7b5ea7386544f524d0315334956093bb/BC817-16.215.pdf"
"R1,R2,R6,R19,R23,R32,R33,R34","8","10K","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R4","2","5.1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R26","2","2K","","","","Resistor_SMD:R_0805_2012Metric",""
"R7,R8,R9,R10,R14,R18","6","470","","","","Resistor_SMD:R_0805_2012Metric",""
"R11,R30","2","1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R12","1","47K5","","","","Resistor_SMD:R_0805_2012Metric",""
"R13","1","22K1","","","","Resistor_SMD:R_0805_2012Metric",""
"R15,R16,R20,R22","4","50","","","","Resistor_SMD:R_0805_2012Metric",""
"R17","1","35WR100KLFTR","","","","Footprints:TRIM_35WR100KLFTR",""
"R24,R25","2","4K7","","","","Resistor_SMD:R_0805_2012Metric",""
"R27,R28,R29","3","1M","","","","Resistor_SMD:R_0805_2012Metric",""
"R31","1","22K","","","","Resistor_SMD:R_0805_2012Metric",""
"S1,S2","2","USLPT2819DT2TR","","","","Footprints:SW_TL3305AF260QG",""
"TP1","1","TestMosi_DI","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP2","1","TestMiso_DI","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP3","1","Test SCLK","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP4","1","Test CS_SD","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP5","1","Test CS","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"U1","1","MCP73871-2CAI_ML","","","","Footprints:QFN50P400X400X100-21N",""
"U2","1","BME280","","","","Footprints:PSON65P250X250X100-8N",""
"U3","1","ESP32-C3-WROOM-02-H4","","","","Footprints:MODULE_ESP32-C3-WROOM-02-H4",""
"U4","1","CP2102N-Axx-xQFN20","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U5","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U6","1","W25Q32JVSSIQ","","","","Footprints:SOIC127P790X216-8N",""
"U8","1","MAX4466EXK","","","","Footprints:SOT65P210X110-5N",""
"VR1","1","LM1117MPX-3.3","","","","Footprints:VREG_LM1117MPX-3.3_NOPB",""
